graph_index,graph,n,initialization,editsWeight,usedIterations,actualPlateau,time,solved,solution_cost,time_exact,ratio
44,bio-nr-44-size-83,83,trivial,16007,5,0,1.6996748745441437,False,-1,-1.0,-1.0
45,bio-nr-45-size-30,30,trivial,1574,2,0,0.3565398510545492,True,1574,0.006202963000000001,1.0
46,bio-nr-46-size-63,63,trivial,17601,4,0,1.330205937847495,True,17601,64.174464266,1.0
47,bio-nr-47-size-2054,2054,random_insert,3697958,5,0,218.620598083362,-1,-1,-1.0,-1.0
48,bio-nr-48-size-77,77,random_insert,47390,4,0,2.3659220896661277,False,-1,-1.0,-1.0
49,bio-nr-49-size-11,11,trivial,183,2,0,0.17925607971847055,True,183,0.0009264739999999999,1.0
50,bio-nr-50-size-75,75,trivial,8505,4,0,1.0511409491300585,True,8505,17.898080917999998,1.0
51,bio-nr-51-size-76,76,trivial,16288,4,0,2.1917729172855616,False,-1,-1.0,-1.0
52,bio-nr-52-size-885,885,editing,707125,100,5,8512.247776146978,False,-1,-1.0,-1.0
53,bio-nr-53-size-84,84,trivial,93227,5,1,2.041307976469397,False,-1,-1.0,-1.0
54,bio-nr-54-size-279,279,random_insert,2513722,5,0,78.82510381750762,False,-1,-1.0,-1.0
55,bio-nr-55-size-18,18,trivial,1509,5,0,0.3025168552994728,True,1509,0.0028881320000000003,1.0
56,bio-nr-56-size-3387,3387,asc_degree_insert,85358064,13,0,3581.515353871509,-1,-1,-1.0,-1.0
57,bio-nr-57-size-129,129,editing,67430,5,1,28.00443209707737,False,-1,-1.0,-1.0
58,bio-nr-58-size-25,25,trivial,6693,3,0,0.3377399407327175,True,6693,0.026931615,1.0
59,bio-nr-59-size-254,254,random_insert,946276,5,0,52.806528983637676,False,-1,-1.0,-1.0
60,bio-nr-60-size-46,46,trivial,0,5,4,117.11526685394348,True,0,0.001339133,1.0
61,bio-nr-61-size-16,16,trivial,1609,3,0,0.2231078688055277,True,1609,0.0026374809999999997,1.0
62,bio-nr-62-size-267,267,random_insert,323310,4,0,30.870371963828802,False,-1,-1.0,-1.0
63,bio-nr-63-size-64,64,random_insert,20907,3,1,0.7004390936344862,True,20907,28.181315901999998,1.0
64,bio-nr-64-size-58,58,trivial,14839,4,0,0.9600399062037468,True,14839,29.580436159,1.0
65,bio-nr-65-size-133,133,random_insert,21657,3,0,13.879396952688696,False,-1,-1.0,-1.0
66,bio-nr-66-size-16,16,trivial,0,3,0,0.2399201039224863,True,0,0.000365747,1.0
67,bio-nr-67-size-1386,1386,editing,3337799,100,2,17246.83250207454,-1,-1,-1.0,-1.0
68,bio-nr-68-size-68,68,trivial,13105,5,4,354.2634970508516,True,13105,0.07210540900000001,1.0
69,bio-nr-69-size-89,89,trivial,29474,4,0,1.68738909997046,False,-1,-1.0,-1.0
70,bio-nr-70-size-6,6,trivial,0,2,0,0.13477797619998455,True,0,0.000192062,1.0
71,bio-nr-71-size-36,36,trivial,333,3,0,16.42482285387814,True,333,0.001568854,1.0
72,bio-nr-72-size-11,11,trivial,391,2,0,0.13349088840186596,True,391,0.001421006,1.0
73,bio-nr-73-size-18,18,trivial,0,3,0,0.2778470516204834,True,0,0.000340762,1.0
74,bio-nr-74-size-223,223,random_insert,885145,3,0,35.81608179956674,False,-1,-1.0,-1.0
75,bio-nr-75-size-25,25,trivial,0,3,0,34.27006909623742,True,0,0.000514694,1.0
76,bio-nr-76-size-22,22,trivial,976,4,0,0.3295540809631348,True,976,0.003283547,1.0
77,bio-nr-77-size-124,124,trivial,18619,4,0,3.3184601925313477,False,-1,-1.0,-1.0
78,bio-nr-78-size-134,134,trivial,165986,100,4,1546.6329988557845,False,-1,-1.0,-1.0
79,bio-nr-79-size-322,322,random_insert,166023,3,0,3.677522065117955,False,-1,-1.0,-1.0
80,bio-nr-80-size-38,38,trivial,9544,5,0,0.5599649157375097,True,9544,0.599773009,1.0
